"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.css", "CSS", 0, 106, 0, 0, 24, 10, 140
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.html", "HTML", 0, 0, 282, 0, 5, 11, 298
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.js", "JavaScript", 6, 0, 0, 0, 4, 2, 12
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.css", "CSS", 0, 107, 0, 0, 17, 6, 130
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.html", "HTML", 0, 0, 311, 0, 5, 11, 327
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.js", "JavaScript", 179, 0, 0, 0, 32, 10, 221
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\gallery.css", "CSS", 0, 124, 0, 0, 16, 7, 147
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\gallery.js", "JavaScript", 151, 0, 0, 0, 14, 6, 171
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\galleryItems.json", "JSON", 0, 0, 0, 58, 0, 0, 58
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\general.css", "CSS", 0, 283, 0, 0, 45, 21, 349
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\general.js", "JavaScript", 5, 0, 0, 0, 2, 0, 7
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.css", "CSS", 0, 206, 0, 0, 32, 17, 255
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.html", "HTML", 0, 0, 345, 0, 5, 12, 362
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.js", "JavaScript", 152, 0, 0, 0, 19, 15, 186
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager-gallery.js", "JavaScript", 90, 0, 0, 0, 30, 3, 123
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager-menu.js", "JavaScript", 257, 0, 0, 0, 11, 4, 272
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager.css", "CSS", 0, 372, 0, 0, 39, 19, 430
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager.html", "HTML", 0, 0, 145, 0, 5, 5, 155
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager.js", "JavaScript", 148, 0, 0, 0, 19, 10, 177
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.css", "CSS", 0, 225, 0, 0, 30, 18, 273
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.html", "HTML", 0, 0, 224, 0, 5, 10, 239
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.js", "JavaScript", 147, 0, 0, 0, 17, 4, 168
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\navigation.css", "CSS", 0, 294, 0, 0, 29, 20, 343
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\navigation.js", "JavaScript", 49, 0, 0, 0, 3, 4, 56
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\reservation.css", "CSS", 0, 315, 0, 0, 7, 19, 341
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\reservation.js", "JavaScript", 147, 0, 0, 0, 20, 4, 171
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\scrollAnim.css", "CSS", 0, 26, 0, 0, 0, 3, 29
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\scrollAnim.js", "JavaScript", 22, 0, 0, 0, 0, 1, 23
"Total", "-", 1353, 2058, 1307, 58, 435, 252, 5463
