"filename", "language", "CSS", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.css", "CSS", 106, 0, 0, 0, 24, 10, 140
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.html", "HTML", 0, 0, 282, 0, 5, 11, 298
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.js", "JavaScript", 0, 6, 0, 0, 4, 2, 12
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.css", "CSS", 92, 0, 0, 0, 17, 6, 115
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.html", "HTML", 0, 0, 311, 0, 5, 11, 327
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.js", "JavaScript", 0, 179, 0, 0, 32, 10, 221
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\gallery.css", "CSS", 124, 0, 0, 0, 16, 7, 147
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\gallery.js", "JavaScript", 0, 151, 0, 0, 14, 6, 171
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\galleryItems.json", "JSON", 0, 0, 0, 58, 0, 0, 58
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\general.css", "CSS", 283, 0, 0, 0, 45, 21, 349
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\general.js", "JavaScript", 0, 5, 0, 0, 2, 0, 7
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.css", "CSS", 206, 0, 0, 0, 32, 17, 255
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.html", "HTML", 0, 0, 345, 0, 5, 12, 362
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.js", "JavaScript", 0, 152, 0, 0, 19, 15, 186
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager-gallery.js", "JavaScript", 0, 90, 0, 0, 30, 3, 123
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager-menu.js", "JavaScript", 0, 257, 0, 0, 11, 4, 272
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.css", "CSS", 225, 0, 0, 0, 30, 18, 273
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.html", "HTML", 0, 0, 224, 0, 5, 10, 239
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.js", "JavaScript", 0, 147, 0, 0, 17, 4, 168
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\navigation.css", "CSS", 294, 0, 0, 0, 29, 20, 343
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\navigation.js", "JavaScript", 0, 49, 0, 0, 3, 4, 56
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\reservation.css", "CSS", 315, 0, 0, 0, 7, 19, 341
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\reservation.js", "JavaScript", 0, 147, 0, 0, 20, 4, 171
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\scrollAnim.css", "CSS", 26, 0, 0, 0, 0, 3, 29
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\scrollAnim.js", "JavaScript", 0, 22, 0, 0, 0, 1, 23
"Total", "-", 1671, 1205, 1162, 58, 372, 218, 4686
