"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.css", "CSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\about.html", "HTML", 0, 0, 41, 0, 0, 1, 42
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\events.html", "HTML", 0, 0, 41, 0, 0, 2, 43
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\gallery.css", "CSS", 0, -3, 0, 0, -2, 0, -5
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\galleryItems.json", "JSON", 0, 0, 0, 58, 0, -1, 57
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\home.html", "HTML", 0, 0, 41, 0, 0, 1, 42
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager-gallery.js", "JavaScript", -48, 0, 0, 0, 11, -2, -39
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager-menu.js", "JavaScript", 257, 0, 0, 0, 11, 3, 271
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\manager.html", "HTML", 0, 0, -35, 0, 0, 0, -35
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.html", "HTML", 0, 0, 25, 0, 0, 0, 25
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\menu.js", "JavaScript", 6, 0, 0, 0, 0, -3, 3
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\reservation.css", "CSS", 0, 109, 0, 0, 0, 3, 112
"c:\Users\govai\Documents\EMRLD\Projects\Internal\Feast\Source Code\reservation.js", "JavaScript", 21, 0, 0, 0, 7, -1, 27
"Total", "-", 236, 107, 113, 58, 27, 3, 544
